Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
яд    81         0.00039
еш    152        0.00072
ыт    132        0.00063
ык    35         0.00017
йт    75         0.00036
зл    86         0.00041
рх    74         0.00035
оп    356        0.00170
щу    27         0.00013
гк    19         0.00009
жа    274        0.00130
шо    81         0.00039
ц     74         0.00035
жк    21         0.00010
щ     149        0.00071
ящ    40         0.00019
юю    7          0.00003
бу    229        0.00109
дт    43         0.00020
йд    48         0.00023
рс    21         0.00010
сэ    3          0.00001
зв    148        0.00070
тд    39         0.00019
рг    52         0.00025
зу    97         0.00046
рк    88         0.00042
ню    24         0.00011
нт    43         0.00020
гн    278        0.00132
зо    167        0.00080
рж    56         0.00027
кж    7          0.00003
 ц    52         0.00025
 ю    17         0.00008
ву    107        0.00051
тп    24         0.00011
ья    111        0.00053
вь    49         0.00023
ям    126        0.00060
уп    116        0.00055
чу    127        0.00060
ощ    48         0.00023
оэ    16         0.00008
зм    62         0.00030
ыг    37         0.00018
юр    10         0.00005
пн    35         0.00017
мк    28         0.00013
иг    67         0.00032
ай    128        0.00061
бя    69         0.00033
вк    52         0.00025
ющ    64         0.00030
зг    69         0.00033
дь    95         0.00045
ху    33         0.00016
бщ    22         0.00010
жн    142        0.00068
ср    55         0.00026
ьч    12         0.00006
пю    17         0.00008
юш    13         0.00006
яв    46         0.00022
бь    25         0.00012
жу    36         0.00017
ж     67         0.00032
яи    8          0.00004
ып    34         0.00016
аб    118        0.00056
вц    5          0.00002
эр    36         0.00017
ию    35         0.00017
б     36         0.00017
тт    15         0.00007
сх    45         0.00021
мч    13         0.00006
уз    71         0.00034
йш    19         0.00009
рв    64         0.00030
мп    9          0.00004
йк    12         0.00006
дз    12         0.00006
фи    36         0.00017
рт    79         0.00038
оф    19         0.00009
сб    24         0.00011
чм    1          0.00000
п     22         0.00010
рм    31         0.00015
рш    48         0.00023
зж    14         0.00007
дс    47         0.00022
иф    12         0.00006
еи    12         0.00006
мб    34         0.00016
яж    19         0.00009
